year,province_id,province_name,track,school_name,school_province,city,tier,f985,f211,shuangyiliu,min_score,min_rank,avg_score,batch
2020,ah,安徽,history,清华大学,北京,北京市,985,1,1,1,654,12,,普通类_本科一批
2020,ah,安徽,history,北京大学,北京,北京市,985,1,1,1,648,21,,普通类_本科一批
2020,ah,安徽,history,长春财经学院,吉林,长春市,本科,0,0,0,513,23,515.26,普通类_本科二批
2020,ah,安徽,history,复旦大学,上海,上海市,985,1,1,1,642,55,,普通类_本科一批
2020,ah,安徽,history,上海交通大学,上海,上海市,985,1,1,1,641,64,,普通类_本科一批
2020,ah,安徽,history,中国人民大学,北京,北京市,985,1,1,1,638,91,,普通类_本科一批
2020,ah,安徽,history,浙江大学,浙江,杭州市,985,1,1,1,637,107,,普通类_本科一批
2020,ah,安徽,history,南京大学,江苏,南京市,985,1,1,1,635,126,,普通类_本科一批
2020,ah,安徽,history,广西民族大学相思湖学院,广西,南宁市,本科,0,0,0,629,133,,普通类_本科提前批
2020,ah,安徽,history,上海财经大学,上海,上海市,211,0,1,1,630,213,,普通类_本科一批
2020,ah,安徽,history,武汉大学,湖北,武汉市,985,1,1,1,628,236,,普通类_本科一批
2020,ah,安徽,history,北京师范大学,北京,北京市,985,1,1,1,627,267,,普通类_本科一批
2020,ah,安徽,history,同济大学,上海,上海市,985,1,1,1,624,353,,普通类_本科一批
2020,ah,安徽,history,南开大学,天津,天津市,985,1,1,1,622,397,,普通类_本科一批
2020,ah,安徽,history,北京航空航天大学,北京,北京市,985,1,1,1,628,451,,普通类_本科一批
2020,ah,安徽,history,中山大学,广东,广州市,985,1,1,1,620,478,,普通类_本科一批
2020,ah,安徽,history,国防科技大学,湖南,长沙市,985,1,1,1,637,479,645,普通类_本科提前批
2020,ah,安徽,history,华东师范大学,上海,上海市,985,1,1,1,618,572,,普通类_本科一批
2020,ah,安徽,history,厦门大学,福建,厦门市,985,1,1,1,618,575,,普通类_本科一批
2020,ah,安徽,history,中央财经大学,北京,北京市,211,0,1,1,617,597,,普通类_本科一批
2020,ah,安徽,history,东南大学,江苏,南京市,985,1,1,1,617,598,,普通类_本科一批
2020,ah,安徽,history,中国政法大学,北京,北京市,211,0,1,1,617,602,,普通类_本科一批
2020,ah,安徽,history,对外经济贸易大学,北京,北京市,211,0,1,1,616,657,,普通类_本科一批
2020,ah,安徽,history,香港中文大学（深圳）,广东,深圳市,本科,0,0,0,633,666,,普通类_本科提前批
2020,ah,安徽,history,天津大学,天津,天津市,985,1,1,1,616,702,,普通类_本科一批
2020,ah,安徽,history,上海外国语大学,上海,上海市,211,0,1,1,616,703,,普通类_本科一批
2020,ah,安徽,history,中国人民大学（苏州校区）,江苏,苏州市,双一流,0,0,1,632,707,,普通类_本科一批
2020,ah,安徽,history,中国社会科学院大学,北京,北京市,本科,0,0,0,622,712,,普通类_本科一批
2020,ah,安徽,history,北京理工大学,北京,北京市,985,1,1,1,621,745,,普通类_本科一批
2020,ah,安徽,history,四川大学,四川,成都市,985,1,1,1,614,769,,普通类_本科一批
2020,ah,安徽,history,华中科技大学,湖北,武汉市,985,1,1,1,613,858,,普通类_本科一批
2020,ah,安徽,history,山东大学,山东,济南市,985,1,1,1,613,869,,普通类_本科一批
2020,ah,安徽,history,重庆大学,重庆,重庆市,985,1,1,1,611,992,,普通类_本科一批
2020,ah,安徽,history,中南大学,湖南,长沙市,985,1,1,1,610,1032,,普通类_本科一批
2020,ah,安徽,history,北京外国语大学,北京,北京市,211,0,1,1,610,1034,,普通类_本科一批
2020,ah,安徽,history,中国传媒大学,北京,北京市,211,0,1,1,610,1063,,普通类_本科一批
2020,ah,安徽,history,吉林大学,吉林,长春市,985,1,1,1,609,1088,,普通类_本科一批
2020,ah,安徽,history,中国农业大学,北京,北京市,985,1,1,1,609,1109,,普通类_本科一批
2020,ah,安徽,history,华南理工大学,广东,广州市,985,1,1,1,609,1121,,普通类_本科一批
2020,ah,安徽,history,苏州大学,江苏,苏州市,211,0,1,1,608,1205,,普通类_本科一批
2020,ah,安徽,history,中央民族大学,北京,北京市,985,1,1,1,607,1229,,普通类_本科一批
2020,ah,安徽,history,哈尔滨工业大学,黑龙江,哈尔滨市,985,1,1,1,607,1248,,普通类_本科一批
2020,ah,安徽,history,外交学院,北京,北京市,双一流,0,0,1,607,1257,,普通类_国家专项计划本科一批
2020,ah,安徽,history,湖南大学,湖南,长沙市,985,1,1,1,607,1260,,普通类_本科一批
2020,ah,安徽,history,南京师范大学,江苏,南京市,211,0,1,1,607,1279,,普通类_本科一批
2020,ah,安徽,history,北京交通大学,北京,北京市,211,0,1,1,606,1317,,普通类_本科一批
2020,ah,安徽,history,电子科技大学,四川,成都市,985,1,1,1,606,1344,,普通类_本科一批
2020,ah,安徽,history,华东政法大学,上海,上海市,本科,0,0,0,606,1352,,普通类_本科一批
2020,ah,安徽,history,上海大学,上海,上海市,211,0,1,1,605,1380,,普通类_本科一批
2020,ah,安徽,history,中南财经政法大学,湖北,武汉市,211,0,1,1,605,1424,,普通类_本科一批
2020,ah,安徽,history,中国海洋大学,山东,青岛市,985,1,1,1,605,1436,,普通类_本科一批
2020,ah,安徽,history,西南财经大学,四川,成都市,211,0,1,1,604,1522,,普通类_本科一批
2020,ah,安徽,history,山东大学（威海）,山东,威海市,985,1,1,1,603,1580,,普通类_本科一批
2020,ah,安徽,history,华中师范大学,湖北,武汉市,211,0,1,1,602,1649,,普通类_本科一批
2020,ah,安徽,history,西南政法大学,重庆,重庆市,本科,0,0,0,602,1687,,普通类_本科一批
2020,ah,安徽,history,暨南大学,广东,广州市,211,0,1,1,608,1688,612,普通类_本科一批
2020,ah,安徽,history,西北工业大学,陕西,西安市,985,1,1,1,602,1688,,普通类_本科一批
2020,ah,安徽,history,东华大学,上海,上海市,211,0,1,1,602,1697,,普通类_本科一批
2020,ah,安徽,history,兰州大学,甘肃,兰州市,985,1,1,1,601,1774,,普通类_本科一批
2020,ah,安徽,history,南京航空航天大学,江苏,南京市,211,0,1,1,601,1806,,普通类_本科一批
2020,ah,安徽,history,北京邮电大学,北京,北京市,211,0,1,1,601,1818,,普通类_本科一批
2020,ah,安徽,history,东北大学,辽宁,沈阳市,985,1,1,1,600,1831,,普通类_本科一批
2020,ah,安徽,history,北京科技大学,北京,北京市,211,0,1,1,600,1838,,普通类_本科一批
2020,ah,安徽,history,西南大学,重庆,重庆市,211,0,1,1,600,1864,,普通类_本科一批
2020,ah,安徽,history,中国人民公安大学,北京,北京市,双一流,0,0,1,600,1885,,普通类_本科一批
2020,ah,安徽,history,北京中医药大学,北京,北京市,211,0,1,1,600,1927,,普通类_本科一批
2020,ah,安徽,history,华东理工大学,上海,上海市,211,0,1,1,599,1962,,普通类_本科一批
2020,ah,安徽,history,河海大学,江苏,南京市,211,0,1,1,599,1981,,普通类_本科一批
2020,ah,安徽,history,东北财经大学,辽宁,大连市,本科,0,0,0,598,2105,,普通类_本科一批
2020,ah,安徽,history,北京师范大学珠海分校,广东,珠海市,本科,0,0,0,603,2152,,普通类_本科一批
2020,ah,安徽,history,北京林业大学,北京,北京市,211,0,1,1,598,2161,,普通类_本科一批
2020,ah,安徽,history,华北电力大学,北京,北京市,211,0,1,1,597,2220,,普通类_本科一批
2020,ah,安徽,history,首都师范大学,北京,北京市,双一流,0,0,1,597,2224,,普通类_本科一批
2020,ah,安徽,history,上海对外经贸大学,上海,上海市,本科,0,0,0,597,2240,,普通类_本科一批
2020,ah,安徽,history,中国地质大学（武汉）,湖北,武汉市,211,0,1,1,597,2256,,普通类_本科一批
2020,ah,安徽,history,江南大学,江苏,无锡市,211,0,1,1,597,2282,,普通类_本科一批
2020,ah,安徽,history,南京农业大学,江苏,南京市,211,0,1,1,596,2298,,普通类_本科一批
2020,ah,安徽,history,福州大学,福建,福州市,211,0,1,1,596,2316,,普通类_本科一批
2020,ah,安徽,history,华南师范大学,广东,广州市,211,0,1,1,596,2322,,普通类_本科一批
2020,ah,安徽,history,西北大学,陕西,西安市,211,0,1,1,596,2341,,普通类_本科一批
2020,ah,安徽,history,深圳大学,广东,深圳市,本科,0,0,0,596,2343,,普通类_本科一批
2020,ah,安徽,history,中国药科大学,江苏,南京市,211,0,1,1,596,2389,,普通类_本科一批
2020,ah,安徽,history,西南交通大学,四川,成都市,211,0,1,1,595,2444,,普通类_本科一批
2020,ah,安徽,history,南京理工大学,江苏,南京市,211,0,1,1,595,2450,,普通类_本科一批
2020,ah,安徽,history,陕西师范大学,陕西,西安市,211,0,1,1,595,2468,,普通类_本科一批
2020,ah,安徽,history,郑州大学,河南,郑州市,211,0,1,1,594,2564,,普通类_本科一批
2020,ah,安徽,history,东北师范大学,吉林,长春市,211,0,1,1,594,2570,,普通类_本科一批
2020,ah,安徽,history,北京工业大学,北京,北京市,211,0,1,1,600,2582,,普通类_本科一批
2020,ah,安徽,history,西北农林科技大学,陕西,咸阳市,985,1,1,1,594,2619,,普通类_本科一批
2020,ah,安徽,history,武汉理工大学,湖北,武汉市,211,0,1,1,594,2627,,普通类_本科一批
2020,ah,安徽,history,湖南师范大学,湖南,长沙市,211,0,1,1,594,2664,,普通类_本科一批
2020,ah,安徽,history,北京化工大学,北京,北京市,211,0,1,1,593,2749,,普通类_本科一批
2020,ah,安徽,history,南京审计大学,江苏,南京市,本科,0,0,0,593,2755,,普通类_本科一批
2020,ah,安徽,history,中国矿业大学（北京）,北京,北京市,211,0,1,1,593,2785,,普通类_本科一批
2020,ah,安徽,history,中国地质大学（北京）,北京,北京市,211,0,1,1,593,2802,,普通类_本科一批
2020,ah,安徽,history,华中农业大学,湖北,武汉市,211,0,1,1,592,2871,,普通类_本科一批
2020,ah,安徽,history,中国石油大学（北京）,北京,北京市,211,0,1,1,592,2937,,普通类_本科一批
2020,ah,安徽,history,云南大学,云南,昆明市,211,0,1,1,592,2978,,普通类_本科一批
2020,ah,安徽,history,广东外语外贸大学,广东,广州市,本科,0,0,0,591,3013,,普通类_本科一批
2020,ah,安徽,history,西北政法大学,陕西,西安市,本科,0,0,0,591,3020,,普通类_本科一批
2020,ah,安徽,history,首都经济贸易大学,北京,北京市,本科,0,0,0,591,3159,,普通类_本科一批
2020,ah,安徽,history,大连海事大学,辽宁,大连市,211,0,1,1,590,3233,,普通类_本科一批
2020,ah,安徽,history,北京第二外国语学院,北京,北京市,本科,0,0,0,590,3275,,普通类_本科一批
2020,ah,安徽,history,西安交通大学,陕西,西安市,985,1,1,1,589,3432,,普通类_本科一批
2020,ah,安徽,history,上海立信会计金融学院,上海,上海市,本科,0,0,0,587,3644,,普通类_本科一批
2020,ah,安徽,history,中国人民警察大学,河北,廊坊市,本科,0,0,0,593,3694,,只招女生_本科提前批
2020,ah,安徽,history,南京财经大学,江苏,南京市,本科,0,0,0,586,3914,,普通类_本科一批
2020,ah,安徽,history,西安外国语大学,陕西,西安市,本科,0,0,0,586,3985,,普通类_本科一批
2020,ah,安徽,history,宁波大学,浙江,宁波市,双一流,0,0,1,585,3998,,普通类_本科一批
2020,ah,安徽,history,上海海事大学,上海,上海市,本科,0,0,0,585,4053,,普通类_本科一批
2020,ah,安徽,history,安徽大学,安徽,合肥市,211,0,1,1,585,4124,,普通类_本科一批
2020,ah,安徽,history,南昌大学,江西,南昌市,211,0,1,1,585,4150,,普通类_本科一批
2020,ah,安徽,history,中国矿业大学,江苏,徐州市,211,0,1,1,584,4260,,普通类_本科一批
2020,ah,安徽,history,长安大学,陕西,西安市,211,0,1,1,584,4262,,普通类_本科一批
2020,ah,安徽,history,合肥工业大学,安徽,合肥市,211,0,1,1,584,4300,,普通类_本科一批
2020,ah,安徽,history,南京邮电大学,江苏,南京市,双一流,0,0,1,583,4332,,普通类_本科一批
2020,ah,安徽,history,复旦大学上海医学院,上海,上海市,985,1,1,0,583,4383,,普通类_国家专项计划本科一批
2020,ah,安徽,history,上海师范大学,上海,上海市,本科,0,0,0,583,4396,,普通类_本科一批
2020,ah,安徽,history,北京体育大学,北京,北京市,211,0,1,1,583,4475,,普通类_本科一批
2020,ah,安徽,history,辽宁大学,辽宁,沈阳市,211,0,1,1,583,4489,,普通类_本科一批
2020,ah,安徽,history,南京林业大学,江苏,南京市,双一流,0,0,1,583,4517,,普通类_本科一批
2020,ah,安徽,history,四川外国语大学,重庆,重庆市,本科,0,0,0,582,4577,,普通类_本科一批
2020,ah,安徽,history,浙江财经大学,浙江,杭州市,本科,0,0,0,582,4606,,普通类_本科一批
2020,ah,安徽,history,宁波诺丁汉大学,浙江,宁波市,本科,0,0,0,596,4618,,普通类_本科一批
2020,ah,安徽,history,浙江师范大学,浙江,金华市,本科,0,0,0,582,4728,,普通类_本科一批
2020,ah,安徽,history,福建师范大学,福建,福州市,本科,0,0,0,582,4751,,普通类_本科一批
2020,ah,安徽,history,北京工商大学,北京,北京市,本科,0,0,0,581,4780,,普通类_本科一批
2020,ah,安徽,history,广西大学,广西,南宁市,211,0,1,1,587,4819,,普通类_本科一批
